exclusion_id,authors,year,title,primary_reason,screening_stage,notes
E001,"Argaw, J. et al.",2024,Vulnerability to Cyberattacks and Sociotechnical Solutions for Health Care Systems: Systematic Review,Non-empirical,Full-Text,Systematic review; https://doi.org/10.2196/46904
E002,"Offner, K.L. et al.",2020,Towards understanding cybersecurity capability in Australian healthcare organisations: a systematic review,Non-empirical,Full-Text,https://doi.org/10.1080/02684527.2020.1752459
E003,"Wasserman, L., Wasserman, Y.",2022,Hospital cybersecurity risks and gaps: review,Non-empirical,Full-Text,https://doi.org/10.3389/fdgth.2022.862221
E004,"Nifakos, S. et al.",2021,Influence of human factors on cyber security within healthcare organisations,Non-empirical,Full-Text,https://doi.org/10.3390/s21155119
E005,"Javaid, M. et al.",2023,Towards Insighting Cybersecurity for Healthcare Domains: A Comprehensive Review,Non-empirical,Full-Text,https://doi.org/10.1016/j.csa.2023.100016
E006,"Shammar, E.A., Zahary, A.T.",2024,Threat to Trust: A Systematic Review on IoMT Security,Non-empirical,Full-Text,https://doi.org/10.1016/j.ijmedinf.2024.105415
E007,"Aloraini, A. et al.",2024,Immunity-Inspired Cybersecurity Models for IoMT,Non-empirical,Full-Text,https://doi.org/10.3390/confmat11200073
E008,"Alharbi, A. et al.",2024,Malware Detection and Classification in IoT Devices,Non-empirical,Full-Text,https://doi.org/10.3390/app15147747
E009,HIMSS,2023,2023 HIMSS Healthcare Cybersecurity Survey,Non-empirical,Full-Text,https://www.himss.org/resources/himss-healthcare-cybersecurity-survey
E010,H-ISAC & Booz Allen Hamilton,2024,Healthcare Cyber Threat Landscape Report,Non-empirical,Full-Text,https://health-isac.org/reports/
E011,Microsoft Threat Intelligence,2024,US Healthcare: Strengthening Against Ransomware,Non-empirical,Full-Text,https://www.microsoft.com/en-us/security
E012,Cylera,2024,Healthcare Cybersecurity Year in Review,Non-empirical,Full-Text,https://cylera.com/blog/2024-healthcare-cybersecurity-year-in-review/
E013,Infoblox,2024,2024 Healthcare Cyber Trend Research Report,Non-empirical,Full-Text,https://blogs.infoblox.com/security
E014,Varonis,2024,Healthcare Cybersecurity Statistics,Non-empirical,Full-Text,https://www.varonis.com/blog/healthcare-cybersecurity-statistics
E015,NIST,2024,NIST SP 800-66r2,Non-empirical,Full-Text,https://doi.org/10.6028/NIST.SP.800-66r2
E016,Joint Task Force,2020,NIST SP 800-53r5,Non-empirical,Full-Text,https://doi.org/10.6028/NIST.SP.800-53r5
E017,"Divya, S.B., Mary, S.P.",2024,Deep Learning and ML for intrusion detection,Used non-hybrid CTI fusion,Full-Text,No multimodal CTI
E018,"Areghan, E., Ndibe, O.S.",2024,XAI for Autonomous Threat Detection,Used non-hybrid CTI fusion,Full-Text,Single-modality XAI
E019,"Almolhis, N. et al.",2020,Security issues in IoT-cloud,Used non-hybrid CTI fusion,Full-Text,https://doi.org/10.1109/CSPA48992.2020.9068693
E020,"Khokhlov, I., Reznik, L.",2024,Blockchain Effect on Healthcare IoMT,Used non-hybrid CTI fusion,Full-Text,https://doi.org/10.11648/j.jfmhc.20241004.14
E021,"Alkhalil, Z. et al.",2024,Blockchain-enabled IoMT network,Used non-hybrid CTI fusion,Full-Text,https://doi.org/10.1186/s13677-025-00775-4
E022,"Khalaf, B.A. et al.",2024,Blockchain Privacy Preservation for IoMT,Used non-hybrid CTI fusion,Full-Text,https://doi.org/10.3390/electronics13193832
E023,"Chatterjee, P. et al.",2024,IoMT Security and Privacy Frameworks,Used non-hybrid CTI fusion,Full-Text,No hybrid CTI
E024,"Alzahrani, F.A. et al.",2024,Blockchain to Accelerate Digital Health,Used non-hybrid CTI fusion,Full-Text,https://doi.org/10.30953/bhty.v7.399
E025,"Gupta, V. et al.",2024,IoMT with blockchain,Used non-hybrid CTI fusion,Full-Text,https://doi.org/10.1007/s43926-024-00078-1
E026,"Al-Hawawreh, M. et al.",2024,Risk Assessment in Smart Hospitals,Used non-hybrid CTI fusion,Full-Text,Limited CTI
E027,"Al-Mekhlafi, A.B. et al.",2024,AI-Induced Cybersecurity Risks,Used non-hybrid CTI fusion,Full-Text,Narrative review
E028,"Sharma, S. et al.",2024,Dynamic risk assessment for MIoT,Used non-hybrid CTI fusion,Full-Text,Single-domain
