study_id,authors,year,title,source,doi,study_type,data_modality,methodology,healthcare_focus,regulations_mentioned
S01,"Guo, Y., Liu, Z., Chen, X., Zhang, L., Wang, J.",2023,"A framework for threat intelligence extraction and fusion","Computers & Security","10.1016/j.cose.2023.103371","Technical Framework","Multimodal","Graph-Based, Knowledge-Based","Generic","None"
S02,"Huang, Y.-T., Vaitheeshwari, R., Chen, M.-C., et al.",2024,"MITREtrieval: Retrieving MITRE techniques from unstructured threat reports by fusion of deep learning and ontology","IEEE Transactions on Network and Service Management","10.1109/TNSM.2024.3401200","Technical Framework","Unstructured","NLP-Centric, Graph-Based","Generic","None"
S03,"Silvestri, S., Islam, S., Papastergiou, S., Tzagkarakis, C., Ciampi, M.",2023,"A machine learning approach for the NLP-based analysis of cyber threats and vulnerabilities of the healthcare ecosystem","Sensors","10.3390/s23020651","Empirical Evaluation","Unstructured","NLP-Centric","High","HIPAA"
S04,"Ampel, B., Samtani, S., Zhu, H., Chen, H., Nunamaker, J.F.",2024,"Improving Threat Mitigation Through a Cybersecurity Risk Management Framework","Journal of Management Information Systems","10.1080/07421222.2023.2301178","Framework","Multimodal","Knowledge-Based","High","GDPR, HIPAA"
S05,"Chakraborty, C., Nagarajan, S.M., Devarajan, G.G., Ramana, M.V., Mohanty, R.P.",2023,"Intelligent AI-based Healthcare Cyber Security System using Multi-Source Transfer Learning Method","ACM Transactions on Sensor Networks","10.1145/3597210","Empirical Evaluation","Multimodal","Ensemble/Statistical","High","None"
S06,"Samtani, S., Chen, H., Kantarcioglu, M., Thuraisingham, B.",2022,"Explainable Artificial Intelligence for Cyber Threat Intelligence (XAI-CTI)","IEEE Transactions on Dependable and Secure Computing","10.1109/tdsc.2022.3168187","Technical Framework","Structured","Knowledge-Based","Generic","GDPR"
S07,"Unsworth, H.P., Wolfram, V., Dillon, B., et al.",2022,"Building an evidence standards framework for artificial intelligence-enabled digital health technologies","The Lancet Digital Health","10.1016/s2589-7500(22)00030-9","Policy Analysis","Unstructured","Knowledge-Based","High","GDPR, HIPAA"
S08,"Xiao, N., Wang, H., Wang, C., Pan, Y., Liu, J.",2024,"APT-MMF: An advanced persistent threat actor attribution method based on multimodal and multilevel feature fusion","Computers & Security","10.1016/j.cose.2024.103960","Technical Framework","Multimodal","NLP-Centric, Graph-Based","Generic","None"
S09,"Powell, M., Drozdenko, B.",2024,"SSOLV: Real-Time AI/ML-based Cybersecurity via Statistical Analysis","IEEE Access","10.1109/access.2024.3444703","Empirical Evaluation","Structured","Ensemble/Statistical","Generic","None"
S10,"Lin, P.-C., Hsu, W.-H., Lin, Y.-D., et al.",2023,"Correlation of cyber threat intelligence with sightings for intelligence assessment and augmentation","Computer Networks","10.1016/j.comnet.2023.109736","Technical Framework","Structured","Graph-Based","Generic","None"
