model,seed,epoch,loss_type,loss_value
gnn,13,1,train,1.1963151090043418
gnn,13,1,val,1.0623746979264967
gnn,13,2,train,1.0533573117374526
gnn,13,2,val,0.8392612150530665
gnn,13,3,train,1.2045997801377253
gnn,13,3,val,0.8939404758612478
gnn,13,4,train,0.9606043675803313
gnn,13,4,val,0.7902116075295359
gnn,13,5,train,1.0321859282820682
gnn,13,5,val,0.7986022547179039
gnn,13,6,train,1.0315513998981825
gnn,13,6,val,0.8253986590220977
gnn,13,7,train,0.8729927824256967
gnn,13,7,val,0.6697802674489508
gnn,13,8,train,0.8944377948409347
gnn,13,8,val,0.6169849639752127
gnn,13,9,train,0.7288254627470784
gnn,13,9,val,0.6552698032049153
gnn,13,10,train,0.7407450937758948
gnn,13,10,val,0.6086041333764808
gnn,13,11,train,0.6453518370341175
gnn,13,11,val,0.5676597080822406
gnn,13,12,train,0.7565289909507382
gnn,13,12,val,0.4371926805542483
gnn,13,13,train,0.7235217424718962
gnn,13,13,val,0.507729644325312
gnn,13,14,train,0.5609104970082455
gnn,13,14,val,0.5060158244239052
gnn,13,15,train,0.5182101820565257
gnn,13,15,val,0.4102489144243491
gnn,13,16,train,0.5289317261262182
gnn,13,16,val,0.4493902664414305
gnn,13,17,train,0.5325871517217067
gnn,13,17,val,0.4919482789487475
gnn,13,18,train,0.45997236589905627
gnn,13,18,val,0.4165920909163706
gnn,13,19,train,0.5477980217971983
gnn,13,19,val,0.45504570739722505
gnn,13,20,train,0.4580890835780807
gnn,13,20,val,0.4830963109023956
gnn,13,21,train,0.4845287710949109
gnn,13,21,val,0.32903174929132994
gnn,13,22,train,0.35082503311255314
gnn,13,22,val,0.40864653962479586
gnn,13,23,train,0.33878333728346816
gnn,13,23,val,0.39951650343490264
gnn,13,24,train,0.43824451410606946
gnn,13,24,val,0.3819777236483304
gnn,13,25,train,0.3559506328744932
gnn,13,25,val,0.39563914608816186
gnn,13,26,train,0.37131536653693087
gnn,13,26,val,0.34638300773412206
gnn,13,27,train,0.3665521391508078
gnn,13,27,val,0.41061572921876166
gnn,13,28,train,0.3230809392536652
gnn,13,28,val,0.3459695403368056
gnn,13,29,train,0.38046823561509374
gnn,13,29,val,0.32771168375617205
gnn,13,30,train,0.3209745518934466
gnn,13,30,val,0.3088056964442206
gnn,13,31,train,0.3688720181696582
gnn,13,31,val,0.3979882245951569
gnn,13,32,train,0.30501196595528857
gnn,13,32,val,0.3437621778833337
gnn,13,33,train,0.28371417805517146
gnn,13,33,val,0.30736356441585533
gnn,13,34,train,0.3113843318326313
gnn,13,34,val,0.39764022587027936
gnn,13,35,train,0.3205468202938593
gnn,13,35,val,0.2894482218325808
gnn,13,36,train,0.31973720405452866
gnn,13,36,val,0.2757331061213106
gnn,13,37,train,0.2854183870070146
gnn,13,37,val,0.27420917110771553
gnn,13,38,train,0.27230746211562584
gnn,13,38,val,0.2699294446355403
gnn,13,39,train,0.26974919227681093
gnn,13,39,val,0.25735635613633173
gnn,13,40,train,0.29622360788258156
gnn,13,40,val,0.30359887875807884
gnn,13,41,train,0.28444300429280156
gnn,13,41,val,0.3099014597329055
gnn,13,42,train,0.25645965945324845
gnn,13,42,val,0.3029385429011612
gnn,13,43,train,0.27796038183305954
gnn,13,43,val,0.3105524192044325
gnn,13,44,train,0.2864068769014889
gnn,13,44,val,0.2979024600621118
gnn,13,45,train,0.26076592824249
gnn,13,45,val,0.2765586837183959
gnn,13,46,train,0.23791028449701823
gnn,13,46,val,0.32748452186959626
gnn,13,47,train,0.2621836925571152
gnn,13,47,val,0.28208852475938545
gnn,13,48,train,0.31052984788599947
gnn,13,48,val,0.2822868723480324
gnn,13,49,train,0.27314593696489464
gnn,13,49,val,0.26232864375527853
gnn,13,50,train,0.25040314732489805
gnn,13,50,val,0.3024858335639663
gnn,13,51,train,0.26995773898565345
gnn,13,51,val,0.2674464970223868
gnn,13,52,train,0.23961596403553845
gnn,13,52,val,0.28848563083451034
gnn,13,53,train,0.25471834062761195
gnn,13,53,val,0.3043133644218176
gnn,13,54,train,0.2633216261841806
gnn,13,54,val,0.30588392281792204
gnn,13,55,train,0.26798113933561746
gnn,13,55,val,0.29254064817227216
gnn,13,56,train,0.24511184692382176
gnn,13,56,val,0.2689660481088646
gnn,13,57,train,0.26634357267690145
gnn,13,57,val,0.24456278245489738
gnn,13,58,train,0.2834498347386581
gnn,13,58,val,0.2815395310396473
gnn,13,59,train,0.2611340290558827
gnn,13,59,val,0.30024588036765465
gnn,13,60,train,0.2584560279597919
gnn,13,60,val,0.2805540607333401
gnn,13,61,train,0.2755692372261477
gnn,13,61,val,0.2805205691942884
gnn,13,62,train,0.25965659328498875
gnn,13,62,val,0.28053851423431714
gnn,13,63,train,0.2581481807103184
gnn,13,63,val,0.26390616811418405
gnn,13,64,train,0.25649705449388754
gnn,13,64,val,0.29178581557430533
gnn,13,65,train,0.25139003200991283
gnn,13,65,val,0.26337961135121296
gnn,13,66,train,0.2694105293221279
gnn,13,66,val,0.2726244410128071
gnn,13,67,train,0.2602210572966154
gnn,13,67,val,0.2703900295043527
gnn,13,68,train,0.26439180703111853
gnn,13,68,val,0.25583687143918743
gnn,13,69,train,0.2592948958391246
gnn,13,69,val,0.2722258543808967
gnn,13,70,train,0.25343345008119733
gnn,13,70,val,0.26093385042947254
gnn,13,71,train,0.25082942687748355
gnn,13,71,val,0.28021076866809336
gnn,13,72,train,0.2584766113944426
gnn,13,72,val,0.2736617643098111
gnn,13,73,train,0.2586684479307155
gnn,13,73,val,0.28284261802637584
gnn,13,74,train,0.26223779498269073
gnn,13,74,val,0.2915515701791683
gnn,13,75,train,0.251999434256425
gnn,13,75,val,0.2742808795204063
gnn,13,76,train,0.25387480699150733
gnn,13,76,val,0.2700853099418722
gnn,13,77,train,0.25727576044981293
gnn,13,77,val,0.28609903585600305
gnn,13,78,train,0.2664890520132596
gnn,13,78,val,0.29154060706013907
gnn,13,79,train,0.2706669494353957
gnn,13,79,val,0.2736709736686771
gnn,13,80,train,0.25989533547238347
gnn,13,80,val,0.27796789379238673
gnn,13,81,train,0.263923710498604
gnn,13,81,val,0.27216597905024126
gnn,13,82,train,0.2525900726921588
gnn,13,82,val,0.27779176755869184
gnn,13,83,train,0.24802176588822303
gnn,13,83,val,0.260607292535103
gnn,13,84,train,0.24998961392634217
gnn,13,84,val,0.2758427209947483
gnn,13,85,train,0.25175481648045017
gnn,13,85,val,0.2717981237912587
gnn,13,86,train,0.2578180762230404
gnn,13,86,val,0.28517698363606475
gnn,13,87,train,0.25260261241346793
gnn,13,87,val,0.28223835864210023
gnn,13,88,train,0.26729439601142013
gnn,13,88,val,0.27493834186986504
gnn,13,89,train,0.2554354077160142
gnn,13,89,val,0.2706784041445738
