variable,mean,sd,min,max
cti_modality_ind1,0.500,0.293,0.001,0.999
cti_modality_ind2,0.500,0.288,0.003,0.999
cti_modality_ind3,0.500,0.292,0.001,0.999
cti_modality_ind4,0.500,0.289,0.002,0.999
semantic_enrichment_ind1,0.500,0.291,0.001,0.999
semantic_enrichment_ind2,0.500,0.288,0.000,0.999
semantic_enrichment_ind3,0.500,0.289,0.001,0.999
semantic_enrichment_ind4,0.500,0.290,0.001,0.999
fusion_strategy_ind1,0.500,0.290,0.001,0.999
fusion_strategy_ind2,0.500,0.289,0.001,0.999
fusion_strategy_ind3,0.500,0.289,0.001,0.999
fusion_strategy_ind4,0.500,0.288,0.001,0.999
regulatory_traceability_ind1,0.500,0.289,0.000,0.999
regulatory_traceability_ind2,0.500,0.289,0.001,0.999
regulatory_traceability_ind3,0.500,0.289,0.000,0.999
regulatory_traceability_ind4,0.500,0.289,0.001,0.999
explainability_ind1,0.500,0.289,0.001,0.999
explainability_ind2,0.500,0.289,0.001,0.999
explainability_ind3,0.500,0.289,0.001,0.999
explainability_ind4,0.500,0.288,0.001,0.999
CDI,0.77,0.03,0.71,0.83
CCR,0.85,0.02,0.80,0.89
