seed,model,CDI_ge_0.70,CCR_ge_0.80,latency_lt_200ms,memory_lt_100MB,meets_all_gates
13,HIMS_CDI_cal,TRUE,TRUE,TRUE,TRUE,TRUE
37,HIMS_CDI_cal,TRUE,TRUE,TRUE,TRUE,TRUE
73,HIMS_CDI_cal,TRUE,TRUE,TRUE,TRUE,TRUE
101,HIMS_CDI_cal,TRUE,TRUE,TRUE,TRUE,TRUE
211,HIMS_CDI_cal,TRUE,TRUE,TRUE,TRUE,TRUE
421,HIMS_CDI_cal,TRUE,TRUE,TRUE,TRUE,TRUE
563,HIMS_CDI_cal,TRUE,TRUE,TRUE,TRUE,TRUE
719,HIMS_CDI_cal,TRUE,TRUE,TRUE,TRUE,TRUE
881,HIMS_CDI_cal,TRUE,TRUE,TRUE,TRUE,TRUE
997,HIMS_CDI_cal,TRUE,TRUE,TRUE,TRUE,TRUE
13,Edge_Aware_Fusion,FALSE,TRUE,FALSE,TRUE,FALSE
37,Edge_Aware_Fusion,FALSE,TRUE,FALSE,TRUE,FALSE
73,Edge_Aware_Fusion,FALSE,TRUE,FALSE,TRUE,FALSE
101,Edge_Aware_Fusion,FALSE,TRUE,FALSE,TRUE,FALSE
211,Edge_Aware_Fusion,FALSE,TRUE,FALSE,TRUE,FALSE
421,Edge_Aware_Fusion,FALSE,TRUE,FALSE,TRUE,FALSE
563,Edge_Aware_Fusion,FALSE,TRUE,FALSE,TRUE,FALSE
719,Edge_Aware_Fusion,FALSE,TRUE,FALSE,TRUE,FALSE
881,Edge_Aware_Fusion,FALSE,TRUE,FALSE,TRUE,FALSE
997,Edge_Aware_Fusion,FALSE,TRUE,FALSE,TRUE,FALSE
13,GNN,FALSE,FALSE,FALSE,FALSE,FALSE
37,GNN,FALSE,FALSE,FALSE,FALSE,FALSE
73,GNN,FALSE,FALSE,FALSE,FALSE,FALSE
101,GNN,FALSE,FALSE,FALSE,FALSE,FALSE
211,GNN,FALSE,FALSE,FALSE,FALSE,FALSE
421,GNN,FALSE,FALSE,FALSE,FALSE,FALSE
563,GNN,FALSE,FALSE,FALSE,FALSE,FALSE
719,GNN,FALSE,FALSE,FALSE,FALSE,FALSE
881,GNN,FALSE,FALSE,FALSE,FALSE,FALSE
997,GNN,FALSE,FALSE,FALSE,FALSE,FALSE
13,Transformer,FALSE,FALSE,FALSE,FALSE,FALSE
37,Transformer,FALSE,FALSE,FALSE,FALSE,FALSE
73,Transformer,FALSE,FALSE,FALSE,FALSE,FALSE
101,Transformer,FALSE,FALSE,FALSE,FALSE,FALSE
211,Transformer,FALSE,FALSE,FALSE,FALSE,FALSE
421,Transformer,FALSE,FALSE,FALSE,FALSE,FALSE
563,Transformer,FALSE,FALSE,FALSE,FALSE,FALSE
719,Transformer,FALSE,FALSE,FALSE,FALSE,FALSE
881,Transformer,FALSE,FALSE,FALSE,FALSE,FALSE
997,Transformer,FALSE,FALSE,FALSE,FALSE,FALSE
