seed,model,inference_latency_ms,inference_memory_mb,training_time_s
13,HIMS_CDI_cal,138,91,17
37,HIMS_CDI_cal,142,93,18
73,HIMS_CDI_cal,133,89,16
101,HIMS_CDI_cal,147,96,19
211,HIMS_CDI_cal,139,92,17
421,HIMS_CDI_cal,144,94,18
563,HIMS_CDI_cal,131,88,16
719,HIMS_CDI_cal,148,97,20
881,HIMS_CDI_cal,136,91,17
997,HIMS_CDI_cal,143,95,18
13,Edge_Aware_Fusion,394,407,399
37,Edge_Aware_Fusion,388,403,402
73,Edge_Aware_Fusion,392,406,398
101,Edge_Aware_Fusion,387,402,404
211,Edge_Aware_Fusion,395,408,400
421,Edge_Aware_Fusion,389,404,403
563,Edge_Aware_Fusion,386,401,397
719,Edge_Aware_Fusion,393,407,401
881,Edge_Aware_Fusion,390,405,399
997,Edge_Aware_Fusion,391,406,400
13,GNN,308,418,340
37,GNN,312,422,342
73,GNN,306,416,339
101,GNN,310,420,341
211,GNN,307,417,340
421,GNN,311,421,342
563,GNN,305,415,338
719,GNN,313,423,343
881,GNN,309,419,341
997,GNN,310,420,342
13,Transformer,418,510,485
37,Transformer,422,514,488
73,Transformer,416,508,483
101,Transformer,420,512,486
211,Transformer,417,509,484
421,Transformer,421,513,487
563,Transformer,415,507,482
719,Transformer,423,515,489
881,Transformer,419,511,486
997,Transformer,420,512,485
